[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 0, 1, 2, 11, 4, 5, 6, 7, 8, 9, 10, 3 ]
[ 0, 1, 3, 2, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 0, 1, 3, 11, 4, 5, 6, 7, 8, 9, 10, 2 ]
[ 0, 1, 11, 2, 4, 5, 6, 7, 8, 9, 10, 3 ]
[ 0, 1, 11, 3, 4, 5, 6, 7, 8, 9, 10, 2 ]
[ 0, 2, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 0, 2, 1, 11, 4, 5, 6, 7, 8, 9, 10, 3 ]
[ 0, 2, 3, 1, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 0, 2, 3, 11, 4, 5, 6, 7, 8, 9, 10, 1 ]
[ 0, 2, 11, 1, 4, 5, 6, 7, 8, 9, 10, 3 ]
[ 0, 2, 11, 3, 4, 5, 6, 7, 8, 9, 10, 1 ]
[ 0, 3, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 0, 3, 1, 11, 4, 5, 6, 7, 8, 9, 10, 2 ]
[ 0, 3, 2, 1, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 0, 3, 2, 11, 4, 5, 6, 7, 8, 9, 10, 1 ]
[ 0, 3, 11, 1, 4, 5, 6, 7, 8, 9, 10, 2 ]
[ 0, 3, 11, 2, 4, 5, 6, 7, 8, 9, 10, 1 ]
[ 0, 11, 1, 2, 4, 5, 6, 7, 8, 9, 10, 3 ]
[ 0, 11, 1, 3, 4, 5, 6, 7, 8, 9, 10, 2 ]
[ 0, 11, 2, 1, 4, 5, 6, 7, 8, 9, 10, 3 ]
[ 0, 11, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1 ]
[ 0, 11, 3, 1, 4, 5, 6, 7, 8, 9, 10, 2 ]
[ 0, 11, 3, 2, 4, 5, 6, 7, 8, 9, 10, 1 ]
[ 1, 0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 1, 0, 2, 11, 4, 5, 6, 7, 8, 9, 10, 3 ]
[ 1, 0, 3, 2, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 1, 0, 3, 11, 4, 5, 6, 7, 8, 9, 10, 2 ]
[ 1, 0, 11, 2, 4, 5, 6, 7, 8, 9, 10, 3 ]
[ 1, 0, 11, 3, 4, 5, 6, 7, 8, 9, 10, 2 ]
[ 1, 2, 0, 3, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 1, 2, 0, 11, 4, 5, 6, 7, 8, 9, 10, 3 ]
[ 1, 2, 3, 0, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 1, 2, 3, 11, 4, 5, 6, 7, 8, 9, 10, 0 ]
[ 1, 2, 11, 0, 4, 5, 6, 7, 8, 9, 10, 3 ]
[ 1, 2, 11, 3, 4, 5, 6, 7, 8, 9, 10, 0 ]
[ 1, 3, 0, 2, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 1, 3, 0, 11, 4, 5, 6, 7, 8, 9, 10, 2 ]
[ 1, 3, 2, 0, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 1, 3, 2, 11, 4, 5, 6, 7, 8, 9, 10, 0 ]
[ 1, 3, 11, 0, 4, 5, 6, 7, 8, 9, 10, 2 ]
[ 1, 3, 11, 2, 4, 5, 6, 7, 8, 9, 10, 0 ]
[ 1, 11, 0, 2, 4, 5, 6, 7, 8, 9, 10, 3 ]
[ 1, 11, 0, 3, 4, 5, 6, 7, 8, 9, 10, 2 ]
[ 1, 11, 2, 0, 4, 5, 6, 7, 8, 9, 10, 3 ]
[ 1, 11, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0 ]
[ 1, 11, 3, 0, 4, 5, 6, 7, 8, 9, 10, 2 ]
[ 1, 11, 3, 2, 4, 5, 6, 7, 8, 9, 10, 0 ]
[ 2, 0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 2, 0, 1, 11, 4, 5, 6, 7, 8, 9, 10, 3 ]
[ 2, 0, 3, 1, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 2, 0, 3, 11, 4, 5, 6, 7, 8, 9, 10, 1 ]
[ 2, 0, 11, 1, 4, 5, 6, 7, 8, 9, 10, 3 ]
[ 2, 0, 11, 3, 4, 5, 6, 7, 8, 9, 10, 1 ]
[ 2, 1, 0, 3, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 2, 1, 0, 11, 4, 5, 6, 7, 8, 9, 10, 3 ]
[ 2, 1, 3, 0, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 2, 1, 3, 11, 4, 5, 6, 7, 8, 9, 10, 0 ]
[ 2, 1, 11, 0, 4, 5, 6, 7, 8, 9, 10, 3 ]
[ 2, 1, 11, 3, 4, 5, 6, 7, 8, 9, 10, 0 ]
[ 2, 3, 0, 1, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 2, 3, 0, 11, 4, 5, 6, 7, 8, 9, 10, 1 ]
[ 2, 3, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 2, 3, 1, 11, 4, 5, 6, 7, 8, 9, 10, 0 ]
[ 2, 3, 11, 0, 4, 5, 6, 7, 8, 9, 10, 1 ]
[ 2, 3, 11, 1, 4, 5, 6, 7, 8, 9, 10, 0 ]
[ 2, 11, 0, 1, 4, 5, 6, 7, 8, 9, 10, 3 ]
[ 2, 11, 0, 3, 4, 5, 6, 7, 8, 9, 10, 1 ]
[ 2, 11, 1, 0, 4, 5, 6, 7, 8, 9, 10, 3 ]
[ 2, 11, 1, 3, 4, 5, 6, 7, 8, 9, 10, 0 ]
[ 2, 11, 3, 0, 4, 5, 6, 7, 8, 9, 10, 1 ]
[ 2, 11, 3, 1, 4, 5, 6, 7, 8, 9, 10, 0 ]
[ 3, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 3, 0, 1, 11, 4, 5, 6, 7, 8, 9, 10, 2 ]
[ 3, 0, 2, 1, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 3, 0, 2, 11, 4, 5, 6, 7, 8, 9, 10, 1 ]
[ 3, 0, 11, 1, 4, 5, 6, 7, 8, 9, 10, 2 ]
[ 3, 0, 11, 2, 4, 5, 6, 7, 8, 9, 10, 1 ]
[ 3, 1, 0, 2, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 3, 1, 0, 11, 4, 5, 6, 7, 8, 9, 10, 2 ]
[ 3, 1, 2, 0, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 3, 1, 2, 11, 4, 5, 6, 7, 8, 9, 10, 0 ]
[ 3, 1, 11, 0, 4, 5, 6, 7, 8, 9, 10, 2 ]
[ 3, 1, 11, 2, 4, 5, 6, 7, 8, 9, 10, 0 ]
[ 3, 2, 0, 1, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 3, 2, 0, 11, 4, 5, 6, 7, 8, 9, 10, 1 ]
[ 3, 2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11 ]
[ 3, 2, 1, 11, 4, 5, 6, 7, 8, 9, 10, 0 ]
